Id,Release_Date,Title,Vote_Average,Original_Language,Genre
4017,2010-10-02,16 Wishes,6.3,en,"Fantasy, Drama, Family"
4018,2021-11-25,South Park: Post COVID,7.4,en,"Animation, Comedy, TV Movie"
4019,2016-06-24,The Shallows,6.4,en,"Horror, Drama, Thriller"
4020,2015-09-03,Solace,6.3,en,"Thriller, Crime, Mystery"
4021,2018-08-19,The Last Sharknado: It's About Time,4.6,en,"Science Fiction, Action, Adventure, Comedy, TV Movie"
4022,2015-05-08,Maggie,5.3,en,"Horror, Drama, Mystery"
4023,1992-03-06,Gladiator,7.5,en,"Action, Drama"
4024,2015-08-19,American Ultra,6.1,en,"Comedy, Action"
4025,2012-12-28,Blue Exorcist: The Movie,7.3,ja,"Animation, Fantasy, Mystery, Horror, Action"
4026,2021-11-26,A Castle for Christmas,5.9,en,"Romance, Comedy, Family"
4027,1994-10-26,The NeverEnding Story III,4.4,en,"Fantasy, Family"
4028,2015-04-11,Spooks: The Greater Good,6,en,"Thriller, Action"
4029,2015-12-10,Invisible Sister,6.7,en,"Fantasy, Adventure, Comedy, TV Movie"
4030,1999-12-25,The Talented Mr. Ripley,7.2,en,"Thriller, Crime, Drama"
4031,2019-02-13,The Queen's Corgi,6.1,en,"Family, Animation"
4032,2019-07-02,Adventures of Dally and Spanky,7.4,en,Family
4033,2011-09-22,Abduction,5.9,en,"Thriller, Action, Mystery"
4034,2003-08-26,Stitch! The Movie,6.5,en,"Comedy, Adventure, Family, Animation"
4035,2009-11-06,Precious,7.3,en,Drama
4036,2007-01-25,Sweeney Todd: The Demon Barber of Fleet Street,7.2,en,"Drama, Horror"
4037,2017-09-14,American Assassin,6.4,en,"Action, Thriller"
4038,1990-08-10,Flatliners,6.5,en,"Drama, Science Fiction, Horror"
4039,1994-08-25,Natural Born Killers,7.1,en,"Crime, Thriller, Drama"
4040,1992-05-15,Lethal Weapon 3,6.7,en,"Adventure, Action, Comedy, Thriller, Crime"
4041,2015-03-26,Ooops! Noah Is Gone...,6.3,en,"Animation, Adventure, Comedy, Family"
4042,1987-07-23,Superman IV: The Quest for Peace,4.5,en,"Action, Adventure, Science Fiction"
4043,1988-08-13,Police Story 2,7,cn,"Action, Crime, Thriller"
4044,2017-04-06,Going in Style,6.7,en,"Crime, Comedy"
4045,2013-02-13,Evil Woman,4,es,"Crime, Drama"
4046,2019-05-29,Ma,5.8,en,"Horror, Thriller"
4047,1978-04-05,Pretty Baby,7,en,Drama
4048,2008-09-09,Zombies! Zombies! Zombies!,4.2,en,"Horror, Comedy"
4049,2018-08-02,The Spy Who Dumped Me,6.4,en,"Action, Comedy"
4050,2005-02-11,Hitch,6.5,en,"Comedy, Drama, Romance"
4051,2017-04-20,Berlin Syndrome,6,en,"Mystery, Thriller, Drama, Horror"
4052,2015-07-10,Behind the Mask: The Batman Dead End Story,8,en,Documentary
4053,2007-09-26,After Sex,5.4,en,"Comedy, Romance, Drama"
4054,2010-10-18,Mirrors 2,5.6,en,"Horror, Mystery, Thriller"
4055,2019-10-25,Black and Blue,6.7,en,"Action, Thriller"
4056,2018-03-30,The Titan,5.4,en,"Science Fiction, Thriller"
4057,1978-12-21,Spider-Man Strikes Back,5.2,en,"Action, Adventure, Family, Fantasy, TV Movie"
4058,2011-10-25,A Funny Thing Happened on the Way to Thor's Hammer,7.1,en,"Science Fiction, Fantasy"
4059,2018-12-21,Nisekoi: False Love,7.6,ja,"Romance, Comedy"
4060,2018-12-20,Master Z: Ip Man Legacy,6.2,cn,"Action, Crime, Drama"
4061,2008-02-28,The Other Boleyn Girl,6.6,en,"Drama, Romance"
4062,2011-11-15,Book of Dragons,6.6,en,"Fantasy, Animation, Action, Comedy, Family"
4063,2014-06-20,Think Like a Man Too,6.5,en,"Comedy, Romance"
4064,2012-09-21,Unconditional,6.8,en,Drama
4065,1999-12-17,Bicentennial Man,7.2,en,"Science Fiction, Comedy, Drama"
4066,2007-09-11,Into the Wild,7.8,en,"Adventure, Drama"
4067,2014-04-08,Perfect Sisters,5.8,en,"Thriller, Drama, Crime"
4068,2014-12-30,The Woman in Black 2: Angel of Death,5.2,en,"Thriller, Horror, Drama"
4069,2020-04-22,The Willoughbys,7.2,en,"Animation, Comedy, Family"
4070,1989-11-15,Steel Magnolias,7.2,en,"Comedy, Drama"
4071,2010-10-17,Milf,4.3,en,Comedy
4072,2014-09-03,Before I Go to Sleep,6.5,en,"Mystery, Thriller"
4073,2012-10-19,The First Time,7,en,"Drama, Comedy, Romance"
4074,2000-08-08,Buzz Lightyear of Star Command: The Adventure Begins,6.4,en,"Animation, Family, Comedy, Science Fiction, Adventure"
4075,1999-03-24,"Girl, Interrupted",7.6,en,Drama
4076,2010-05-07,Room in Rome,6.4,es,"Drama, Romance"
4077,2021-04-23,The Space Between,5.4,en,"Drama, Comedy"
4078,2007-09-29,Sword of the Stranger,7.6,ja,"Action, Animation, History"
4079,2010-09-20,Pokémon Apokélypse,5.2,en,"Crime, Action, Drama"
4080,2001-11-17,Justice League: Secret Origins,7.7,en,"Action, Adventure, Animation, Science Fiction"
4081,2013-12-31,Enemy,6.9,en,"Thriller, Mystery"
4082,2004-05-07,Mindhunters,6.5,en,"Mystery, Thriller, Crime"
4083,2017-07-17,#realityhigh,6.4,en,Comedy
4084,1963-06-20,The Great Escape,8,en,"Adventure, Drama, History, Thriller, War"
4085,2014-10-11,Escobar: Paradise Lost,6.3,en,"Thriller, Romance"
4086,2001-12-15,Inuyasha the Movie: Affections Touching Across Time,7.6,ja,"Action, Animation, Adventure, Fantasy"
4087,2019-08-02,Dragon Quest: Your Story,6.8,ja,"Animation, Adventure, Comedy, Fantasy, Action, Family"
4088,1983-02-11,Urusei Yatsura: Only You,6.4,ja,"Animation, Romance, Science Fiction, Comedy"
4089,2000-10-27,Book of Shadows: Blair Witch 2,4.2,en,"Mystery, Thriller, Horror"
4090,1987-02-13,Over the Top,6.3,en,"Action, Drama"
4091,2019-12-13,Bombshell,6.8,en,"Drama, History"
4092,2019-12-25,Dino King: Journey to Fire Mountain,7.9,ko,"Animation, Adventure"
4093,2013-02-21,Snitch,6,en,"Thriller, Drama, Action"
4094,1999-02-12,Gorgeous,6.2,cn,"Adventure, Action, Comedy, Romance"
4095,2021-12-10,American Refugee,6.7,en,"Horror, Thriller"
4096,2010-02-14,Starstruck,7,en,"Romance, Comedy, TV Movie, Music"
4097,2001-06-08,Evolution,6,en,"Comedy, Science Fiction, Action"
4098,1958-05-28,Vertigo,8.2,en,"Mystery, Romance, Thriller"
4099,2012-06-01,Titanic: 100 Years On,6.9,en,Documentary
4100,1968-02-02,The Diamond Arm,7.9,ru,"Adventure, Comedy, Crime"
4101,1998-03-05,The Thin Red Line,7.4,en,"Drama, History, War"
4102,2016-09-15,Snowden,7.1,en,"Drama, History, Crime, Thriller"
4103,2017-03-04,Security,6.1,en,"Action, Thriller, Crime"
4104,2017-02-07,Moontrap: Target Earth,4.6,en,"Action, Science Fiction, Adventure"
4105,2019-05-03,The Intruder,6.1,en,Thriller
4106,1972-08-30,The Last House on the Left,5.9,en,"Horror, Thriller"
4107,2016-12-02,Siren,6,en,Horror
4108,2014-12-25,Unbroken,7.5,en,"Drama, War"
4109,2007-12-25,The Water Horse,6.4,en,"Family, Adventure, Fantasy"
4110,2010-01-12,Plan B,7.2,es,"Comedy, Drama, Romance"
4111,1951-11-08,Quo Vadis,7.1,en,"Drama, History, Romance"
4112,1985-03-27,Ladyhawke,7,en,"Adventure, Comedy, Drama, Fantasy"
4113,2013-09-12,Machete Kills,5.6,en,"Action, Crime, Thriller"
4114,2018-05-10,Life of the Party,6.2,en,Comedy
4115,1999-07-23,The Haunting,5.4,en,"Horror, Thriller, Fantasy, Mystery"
4116,2022-02-16,ASSEMBLED: The Making of Eternals,6.4,en,Documentary
4117,2013-10-17,Tarzan,5.7,en,"Animation, Action, Adventure, Family"
4118,2020-12-25,News of the World,7,en,"Drama, Western, Adventure"
4119,2005-09-23,The Madagascar Penguins in a Christmas Caper,6.7,en,"Animation, Comedy, Family"
4120,1987-06-24,Spaceballs,6.8,en,"Comedy, Science Fiction"
4121,2017-07-13,Tulip Fever,6.5,en,"Drama, Romance"
4122,2001-04-04,Blow,7.4,en,"Crime, Drama"
4123,2019-02-13,Happy Death Day 2U,6.3,en,"Comedy, Horror, Science Fiction"
4124,1942-11-26,Casablanca,8.2,en,"Drama, Romance"
4125,1978-03-09,The Deer Hunter,8,en,"Drama, War"
4126,2009-06-08,A Perfect Getaway,6.3,en,"Thriller, Mystery, Adventure"
4127,2016-04-21,Flight Crew,6.9,ru,"Drama, Action"
4128,2011-09-05,A Cinderella Story: Once Upon a Song,6.4,en,"Comedy, Family, Romance"
4129,2009-08-13,The Secret in Their Eyes,8,es,"Crime, Drama, Mystery"
4130,2012-09-07,Dredd,6.8,en,"Action, Science Fiction"
4131,2007-12-26,There Will Be Blood,8.1,en,Drama
4132,2016-08-26,The Lion Woman,6.9,no,Drama
4133,2009-10-22,Uncharted: Eye of Indra,4.5,en,"Action, Adventure, Animation"
4134,2001-06-07,Swordfish,6.2,en,"Action, Crime, Thriller"
4135,2001-06-29,A.I. Artificial Intelligence,7,en,"Drama, Science Fiction, Adventure"
4136,1990-12-03,The Ages of Lulu,6.4,es,Drama
4137,2000-10-20,Pay It Forward,7.3,en,Drama
4138,2009-02-20,Walled In,4.9,en,"Horror, Thriller"
4139,2019-10-01,Jarhead: Law of Return,6.5,en,War
4140,2002-08-29,Frida,7.5,en,"Drama, Romance"
4141,2019-01-24,Sheep & Wolves: Pig Deal,6.9,ru,"Animation, Adventure, Comedy, Family"
4142,1954-09-01,Rear Window,8.4,en,"Thriller, Mystery"
4143,2019-03-15,Mr. Osomatsu the Movie,7.6,ja,"Comedy, Animation"
4144,2020-10-15,Dragon Rider,7.3,en,"Animation, Family, Adventure, Fantasy"
4145,1999-02-12,Blast from the Past,6.7,en,"Science Fiction, Drama, Romance, Comedy"
4146,2017-12-08,"I, Tonya",7.5,en,Drama
4147,1998-03-07,Doraemon: Nobita's Great Adventure in the South Seas,6.7,ja,Animation
4148,2010-10-13,RED,6.7,en,"Action, Adventure, Comedy, Crime, Thriller"
4149,2016-09-10,Your Lie in April,7,ja,"Drama, Music, Romance"
4150,2021-01-30,Prime Time,5,pl,"Drama, Thriller"
4151,2021-04-29,Farm to Fork to Love,6,en,"Romance, TV Movie"
4152,1986-02-09,Nine 1/2 Weeks,6.1,en,"Drama, Romance"
4153,2020-09-15,Wish Upon a Unicorn,7.2,en,"Adventure, Family, Fantasy"
4154,2012-10-05,Birthday Sex,6.5,en,"Drama, Romance"
4155,1995-11-17,It Takes Two,6.4,en,"Comedy, Family, Romance"
4156,1979-02-17,Fearless Hyena,6.7,cn,"Comedy, Action"
4157,1998-04-03,Lost in Space,5.3,en,"Science Fiction, Adventure"
4158,2017-12-29,Day of the Dead: Bloodline,4.6,en,"Action, Horror"
4159,2005-02-02,Unleashed,6.9,en,"Action, Crime"
4160,2018-11-07,Kursk,6.7,en,"Drama, History, Thriller, Action"
4161,1961-10-11,King of Kings,7,en,"Drama, History"
4162,2020-12-10,Silver Skates,7.8,ru,"Romance, Adventure, Drama, Family, History"
4163,1978-12-16,Every Which Way but Loose,6.2,en,"Action, Comedy, Adventure, Romance, Drama"
4164,2019-06-27,Yesterday,6.7,en,"Music, Comedy, Romance, Fantasy"
4165,2019-03-15,Captive State,5.6,en,Science Fiction
4166,2011-03-01,S.W.A.T.: Firefight,5.7,en,"Action, Crime, Thriller"
4167,2013-10-10,Delivery Man,6.2,en,Comedy
4168,2014-08-12,Good People,5.5,en,"Thriller, Crime, Action"
4169,2010-12-13,Minions: Home Makeover,6.8,en,"Animation, Family, Comedy"
4170,2013-04-23,Superman: Unbound,6.7,en,"Animation, Action, Adventure"
4171,2011-07-16,Pokémon the Movie: White - Victini and Zekrom,6.6,ja,"Animation, Family, Adventure, Drama, Fantasy"
4172,2000-07-30,Coyote Ugly,6.3,en,"Comedy, Drama, Music, Romance"
4173,2002-07-17,Eight Legged Freaks,5.7,en,"Action, Comedy, Horror, Thriller"
4174,2003-05-02,The Lizzie McGuire Movie,6.3,en,"Family, Comedy"
4175,2006-02-10,The Pink Panther,5.8,en,"Comedy, Family, Mystery, Crime, Adventure, Action"
4176,2017-02-01,Sahara,5.9,fr,"Adventure, Animation, Comedy, Family"
4177,2018-08-02,Leal,6.9,es,"Action, Crime, Drama"
4178,2000-12-16,Battle Royale,7.3,ja,"Drama, Thriller, Action"
4179,1965-05-10,For a Few Dollars More,8,it,Western
4180,2021-06-04,Trippin’ with the Kandasamys,7.1,en,"Comedy, Romance"
4181,2006-10-01,Paprika,7.8,ja,"Animation, Drama, Mystery, Science Fiction, Thriller, Fantasy"
4182,2014-10-07,Goodnight Mommy,6.7,de,"Drama, Horror, Thriller, Mystery"
4183,2007-09-27,"Lust, Caution",7.1,zh,"Action, Drama, Romance, Thriller"
4184,1973-06-21,Sinner: The Secret Diary of a Nymphomaniac,4.5,fr,Drama
4185,2010-02-05,Frozen,5.9,en,Thriller
4186,2020-11-19,Gabriel's Inferno Part III,8.6,en,"Romance, Comedy"
4187,1964-12-06,Rudolph the Red-Nosed Reindeer,7.3,en,"Animation, Family, TV Movie"
4188,1963-03-28,The Birds,7.5,en,Horror
4189,2001-02-08,From Hell,6.7,en,"Horror, Mystery, Thriller"
4190,1983-08-31,Women's Prison Massacre,4.3,en,"Action, Drama"
4191,2018-10-11,Suspiria,7,en,"Horror, Thriller"
4192,1994-11-23,The Pagemaster,6.4,en,"Family, Fantasy, Science Fiction, Animation"
4193,2022-03-09,Besties,0,fr,"Drama, Romance"
4194,2018-09-21,Nappily Ever After,7.2,en,"Comedy, Romance"
4195,2018-05-18,Black Water,5.7,en,"Action, Thriller"
4196,1999-10-29,Being John Malkovich,7.4,en,"Comedy, Drama, Fantasy"
4197,2018-02-16,The Monkey King 3,5.4,zh,"Action, Adventure, Fantasy"
4198,2011-02-25,Megamind: The Button of Doom,6.6,en,"Animation, Action, Comedy, Family"
4199,2021-12-16,Pushpa: The Rise - Part 1,7.7,te,"Action, Drama, Thriller"
4200,2011-05-26,Melancholia,7.2,en,"Drama, Science Fiction"
4201,2004-03-09,Winnie the Pooh: Springtime with Roo,6.7,en,"Family, Animation"
4202,2021-06-23,Good on Paper,5.6,en,"Comedy, Romance"
4203,1995-12-22,Dracula: Dead and Loving It,6,en,"Comedy, Horror, Fantasy"
4204,2020-11-19,The Princess Switch: Switched Again,7,en,"Family, Romance, Comedy"
4205,2008-08-15,Mirrors,6.2,en,"Horror, Mystery, Thriller, Drama"
4206,2003-03-21,Dreamcatcher,5.5,en,"Drama, Horror, Science Fiction, Thriller"
4207,1992-08-26,The Last of the Mohicans,7.4,en,"Action, Adventure, Drama, History, Romance, War"
4208,2015-05-23,New Initial D the Movie - Legend 2: Racer,8.1,ja,"Animation, Drama, Action"
4209,2015-04-17,True Story,6.3,en,"Crime, Drama, History"
4210,2019-07-18,Secret Obsession,5.5,en,"Drama, Thriller"
4211,2019-12-05,How to Train Your Dragon: Snoggletog Log,6.6,en,"Animation, Family"
4212,2001-08-17,Pokémon: Mewtwo Returns,6.7,ja,"Animation, Family, Action, Adventure, Drama, Fantasy"
4213,2022-01-07,See for Me,6.1,en,Thriller
4214,2013-07-04,Gintama the Movie: The Final Chapter - Be Forever Yorozuya,8.1,ja,"Action, Comedy, Science Fiction, Animation"
4215,1981-06-12,Clash of the Titans,6.9,en,"Action, Adventure, Family, Fantasy"
4216,2018-10-04,The House That Jack Built,7.2,en,"Drama, Horror, Crime, Thriller"
4217,2002-12-06,Equilibrium,7,en,"Action, Science Fiction, Thriller"
4218,2014-04-01,Saul: The Journey to Damascus,5.6,es,Drama
4219,2009-10-16,Triangle,6.9,en,Horror
4220,1998-11-20,Enemy of the State,7,en,"Action, Drama, Thriller"
4221,1985-03-28,Police Academy 2: Their First Assignment,6,en,"Comedy, Crime"
4222,2015-11-06,The Condemned 2,5.2,en,Action
4223,1995-03-10,Outbreak,6.5,en,"Action, Drama, Science Fiction, Thriller"
4224,2000-04-27,Where the Heart Is,7.1,en,"Comedy, Drama, Romance"
4225,1963-12-18,The Pink Panther,6.9,en,"Comedy, Crime"
4226,2020-02-27,Guns Akimbo,6.5,en,"Comedy, Action"
4227,2017-01-19,The Post,7,en,"Drama, History"
4228,2016-08-26,Hands of Stone,6.3,en,Drama
4229,2014-06-28,Ghost in the Shell Arise - Border 3: Ghost Tears,6.8,ja,"Action, Animation, Science Fiction"
4230,2004-03-12,Secret Window,6.6,en,"Mystery, Thriller"
4231,2003-10-03,School of Rock,7.1,en,"Comedy, Music, Family"
4232,1980-11-19,Tender Cousins,5.4,fr,"Drama, Romance"
4233,2018-11-30,Mirage,7.5,es,"Science Fiction, Thriller, Drama, Romance, Mystery"
4234,2019-02-25,Our Friend,7.2,en,"Drama, Romance"
4235,2012-06-02,Blood-C: The Last Dark,7.1,ja,"Action, Horror, Science Fiction, Animation"
4236,2018-01-31,Scooby-Doo! & Batman: The Brave and the Bold,7.6,en,"Animation, Comedy, Action, Family"
4237,2012-12-19,Zero Dark Thirty,7,en,"Thriller, Drama, History"
4238,2020-07-16,Unhinged,6.4,en,"Action, Thriller"
4239,2004-08-13,Yu-Gi-Oh! The Movie,6,en,"Adventure, Fantasy, Animation, Action, Comedy, Thriller, Science Fiction, Family"
4240,2005-07-16,Pokémon: Lucario and the Mystery of Mew,6.9,ja,"Family, Adventure, Animation, Fantasy, Action, Science Fiction"
4241,2011-08-05,Phineas and Ferb: The Movie: Across the 2nd Dimension,6.9,en,"Animation, Comedy, Family, TV Movie, Music, Adventure, Science Fiction"
4242,1995-04-21,While You Were Sleeping,6.9,en,"Romance, Comedy"
4243,2019-06-19,In Full Bloom,7,en,"Action, Drama"
4244,2016-10-14,Gantz:O,7.3,ja,"Science Fiction, Action, Animation"
4245,2011-03-27,Kill Bill: The Whole Bloody Affair,8,en,"Action, Crime, Thriller"
4246,2016-07-06,Cell,4.6,en,"Horror, Science Fiction, Thriller"
4247,2015-08-01,Corpse Party,5,ja,"Horror, Mystery, Science Fiction"
4248,2016-04-22,Bastille Day,6.3,en,Action
4249,1992-09-03,Jamon Jamon,6.2,es,"Comedy, Drama, Romance"
4250,2014-04-14,Behaving Badly,5.3,en,Comedy
4251,2022-03-09,La campagne de France,0,fr,Documentary
4252,2021-03-12,Paper Lives,8.2,tr,Drama
4253,2018-01-19,7 Guardians of the Tomb,5.5,en,"Action, Adventure, Horror"
4254,2014-01-22,"I, Frankenstein",5.3,en,"Horror, Thriller"
4255,2017-09-13,mother!,7,en,"Drama, Horror, Mystery"
4256,2022-01-26,Kingmaker,6.4,ko,Drama
4257,2015-11-19,Nice Sister-In-Law,6.6,ko,"Romance, Drama"
4258,2021-10-01,Swallow,5.5,en,"Drama, History, Thriller, Crime"
4259,1998-03-20,Wild Things,6.3,en,"Mystery, Thriller, Drama"
4260,2016-10-21,Moonlight,7.4,en,Drama
4261,2020-07-25,Rick and Morty vs Genocider,3.5,en,Animation
4262,1995-08-30,P.O. Box Tinto Brass,5.4,it,Comedy
4263,1988-02-11,Dragons Forever,7.1,cn,"Action, Comedy, Romance"
4264,1998-02-16,Belle's Magical World,6.2,en,"Animation, Family"
4265,2000-08-25,Vampire Hunter D: Bloodlust,7.6,ja,"Animation, Fantasy, Horror, Action"
4266,2002-04-13,Interstate 60,7.3,en,"Adventure, Comedy, Fantasy"
4267,1997-07-18,Snow White: A Tale of Terror,5.9,en,"Fantasy, Horror"
4268,2007-02-01,Scars 2,8.4,es,Drama
4269,1989-11-30,National Lampoon's Christmas Vacation,7.2,en,Comedy
4270,2018-02-04,The Cloverfield Paradox,5.6,en,"Horror, Science Fiction, Action, Thriller"
4271,2010-11-12,127 Hours,7.1,en,"Adventure, Drama, Thriller"
4272,2007-12-18,Jackass 2.5,6.1,en,"Comedy, Documentary"
4273,2019-05-02,Long Shot,6.7,en,"Comedy, Romance"
4274,1998-08-13,The Avengers,4.4,en,"Thriller, Science Fiction"
4275,1993-11-10,Carlito's Way,7.8,en,"Crime, Thriller, Romance, Drama"
4276,2007-06-22,1408,6.7,en,Horror
4277,2019-06-17,Portrait of a Lady on Fire,8.2,fr,"Drama, History, Romance"
4278,2010-08-27,The Last Exorcism,5.6,en,"Horror, Thriller"
4279,2009-01-09,The Butterfly Effect 3: Revelations,5.4,en,"Science Fiction, Thriller, Drama, Crime"
4280,2021-12-03,Silent Night,6.5,en,"Horror, Comedy, Drama"
4281,2018-03-26,Charming,6.6,en,"Animation, Adventure, Comedy, Family, Fantasy, Music"
4282,2015-04-02,Wolf Warrior,6.2,zh,"Action, War"
4283,2016-06-21,LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,6.9,en,"Animation, Family, Adventure, Action, Comedy"
4284,2015-05-28,Circle,6,en,"Science Fiction, Mystery, Drama, Thriller, Horror"
4285,2021-09-17,Lady of the Manor,6.5,en,"Comedy, Fantasy"
4286,2021-09-24,El Planeta,5.9,es,"Comedy, Drama"
4287,1999-08-12,Bowfinger,6.1,en,Comedy
4288,2016-11-26,KanColle Movie,4.8,ja,"Action, Animation, Science Fiction, TV Movie, War"
4289,2018-04-13,Wildling,5.5,en,"Horror, Fantasy, Thriller, Drama"
4290,2012-07-28,V/H/S,6.1,en,"Thriller, Horror"
4291,2003-01-01,Mystic River,7.7,en,"Thriller, Crime, Drama, Mystery"
4292,2009-07-21,Messengers 2: The Scarecrow,5.3,en,Horror
4293,1993-01-15,Alive,6.9,en,"Adventure, Drama, Thriller"
4294,2016-09-29,L.O.R.D: Legend of Ravaging Dynasties,7,zh,"Animation, Fantasy, Drama, Science Fiction"
4295,2015-06-26,Teen Beach 2,6.8,en,"TV Movie, Family, Comedy, Fantasy"
4296,2015-07-03,Amy,7.6,en,"Documentary, Music"
4297,2016-12-17,Tomorrow I Will Date With Yesterday's You,7.6,ja,"Romance, Drama"
4298,2017-01-26,The Space Between Us,7.1,en,"Romance, Adventure, Science Fiction, Drama"
4299,1996-08-09,Escape from L.A.,5.9,en,"Action, Adventure, Science Fiction, Thriller"
4300,2018-07-13,How It Ends,5.3,en,"Science Fiction, Thriller, Mystery, Action, Adventure"
4301,2022-03-09,My Night,0,fr,"Drama, Romance"
4302,2018-06-12,"My Teacher, My Obsession",4.9,en,"Drama, Thriller, TV Movie"
4303,2015-10-24,My Little Pony: Equestria Girls: Friendship Games,7.3,en,"Animation, Music, Family"
4304,1992-02-21,All Ladies Do It,4.4,it,"Comedy, Drama"
4305,1986-06-11,Ferris Bueller's Day Off,7.7,en,Comedy
4306,2017-07-14,Gintama,6.7,ja,"Action, Adventure, Comedy, Science Fiction"
4307,2011-05-11,Midnight in Paris,7.5,en,"Fantasy, Comedy, Romance"
4308,1969-01-18,Graf Porno und seine Mädchen,6.6,de,Comedy
4309,2019-05-20,After We Leave,5.4,en,"Science Fiction, Drama"
4310,2022-02-02,Superwho?,6,fr,"Comedy, Action"
4311,2016-11-04,A Street Cat Named Bob,7.9,en,"Family, Drama"
4312,2005-01-20,Are We There Yet?,5.6,en,"Family, Adventure, Comedy, Romance"
4313,2019-02-20,The Wolf's Call,7.6,fr,"Thriller, Action"
4314,2018-09-07,Redcon-1,5.6,en,"Action, Horror, Science Fiction"
4315,2019-03-21,Balkan Line,7.7,ru,"Drama, Action, War"
4316,2014-10-09,Automata,5.8,en,"Thriller, Science Fiction"
4317,1977-06-22,The Rescuers,6.7,en,"Fantasy, Family, Animation, Adventure"
4318,1997-07-03,Bean,6.4,en,"Comedy, Family, Adventure"
4319,2018-11-22,The Christmas Chronicles,7.1,en,"Comedy, Adventure, Family, Fantasy"
4320,1953-08-26,Roman Holiday,7.9,en,"Romance, Comedy, Drama"
4321,1961-04-27,The Guns of Navarone,7.4,en,"War, Action"
4322,1979-01-17,Nosferatu the Vampyre,7.4,de,"Drama, Horror"
4323,2022-01-07,Siklo,4,tl,"Drama, Thriller"
4324,1995-09-29,Halloween: The Curse of Michael Myers,5.2,en,"Horror, Thriller"
4325,2009-09-09,Whiteout,5.5,en,"Action, Crime, Mystery, Thriller"
4326,2019-08-22,Abigail,6.2,en,"Adventure, Fantasy, Mystery"
4327,1991-11-30,Dragon Ball: The Magic Begins,4,zh,"Action, Adventure, Fantasy"
4328,1999-11-24,End of Days,6,en,"Action, Fantasy, Horror, Mystery"
4329,2006-08-17,The Butterfly Effect 2,4.9,en,"Drama, Science Fiction, Thriller"
4330,2021-02-26,Soy Luna: The Last Concert,8.1,es,"Music, Documentary"
4331,2015-05-21,Survivor,5.6,en,"Crime, Action, Thriller"
4332,2014-10-01,Dracula Untold,6.4,en,"Horror, Action, Drama, Fantasy, War"
4333,2017-09-01,The Layover,5.3,en,"Comedy, Romance"
4334,2020-02-13,Emma.,7.1,en,"Comedy, Romance"
4335,1940-10-15,The Great Dictator,8.4,en,"Comedy, War"
4336,2018-10-05,You Are the Apple of My Eye,5.4,ja,Romance
4337,2022-11-09,Black Panther: Wakanda Forever,0,en,"Action, Adventure, Science Fiction"
4338,2011-05-05,Something Borrowed,6.3,en,"Comedy, Drama, Romance"
4339,1986-05-23,Poltergeist II: The Other Side,6,en,"Horror, Thriller"
4340,2013-12-07,Lupin the Third vs. Detective Conan: The Movie,6.8,ja,"Animation, Action, Thriller"
4341,2007-03-15,Dororo,7,ja,"Action, Fantasy, Horror, Science Fiction"
4342,2014-09-19,Tusk,5.4,en,"Comedy, Horror"
4343,2019-02-14,"Oh, Ramona!",5.7,en,"Comedy, Romance"
4344,2018-03-15,Sherlock Gnomes,5.6,en,"Animation, Family, Fantasy, Comedy, Adventure, Mystery"
4345,2014-05-14,Obsessed,6.8,ko,"Drama, Romance, Adventure"
4346,2019-05-24,Avengement,6.8,en,"Crime, Action"
4347,2011-06-17,Towa no Quon 1: The Ephemeral Petals,6.3,ja,"Action, Animation, Science Fiction, Fantasy"
4348,2016-11-11,Shut In,5.4,en,"Drama, Thriller"
4349,1952-04-09,Singin' in the Rain,8.2,en,"Comedy, Music, Romance"
4350,2016-10-21,Before the Flood,7.7,en,Documentary
4351,2006-05-05,Survival Island,5.1,en,"Thriller, Mystery, Drama, Romance"
4352,1992-12-23,Scent of a Woman,7.7,en,Drama
4353,2016-04-23,Ghostheads,5.9,en,Documentary
4354,2011-11-11,Young Adult,5.7,en,"Comedy, Drama"
4355,2018-02-16,Monster Hunt 2,6.8,en,"Adventure, Comedy, Fantasy"
4356,2019-01-24,Serenity,5.4,en,"Thriller, Mystery, Drama"
4357,2006-03-15,The Lives of Others,8.1,de,"Drama, Thriller"
4358,2011-09-22,"Madrid, 1987",6.3,es,Drama
4359,2021-02-23,Pelé,7.5,pt,Documentary
4360,2019-12-13,Yummy,6.4,nl,"Horror, Comedy, Action"
4361,1979-07-26,The Amityville Horror,6.3,en,Horror
4362,2013-11-16,Wer,6.3,en,"Horror, Mystery, Thriller"
4363,1997-02-07,Dante's Peak,6.1,en,"Action, Adventure, Thriller, Drama"
4364,1987-04-02,Police Academy 4: Citizens on Patrol,5.4,en,"Comedy, Crime"
4365,1999-03-16,From Dusk Till Dawn 2: Texas Blood Money,4.6,en,"Crime, Action, Horror, Thriller"
4366,1989-12-22,Tango & Cash,6.4,en,"Action, Adventure, Comedy, Thriller"
4367,2008-10-24,Vacancy 2: The First Cut,5.3,en,"Horror, Thriller, Mystery"
4368,2019-09-07,Vivarium,6,en,"Science Fiction, Horror, Mystery"
4369,2011-10-11,Arena,5.3,en,"Action, Thriller, Science Fiction"
4370,1992-08-07,Unforgiven,7.9,en,Western
4371,2019-10-31,Fidelity,7,ru,Drama
4372,2006-03-17,She's the Man,6.8,en,"Comedy, Drama, Family, Romance"
4373,2000-08-25,Bring It On,6.2,en,Comedy
