Id,Release_Date,Title,Vote_Average,Original_Language,Genre
129,2021-12-03,Encounter,6.4,en,"Adventure, Drama"
130,2021-08-06,Son,6,en,"Horror, Thriller"
131,2020-12-16,Wonder Woman 1984,6.6,en,"Action, Adventure, Fantasy"
132,2014-04-16,The Amazing Spider-Man 2,6.5,en,"Action, Adventure, Fantasy"
133,2021-12-02,The Whole Truth,6.5,th,Horror
134,2022-02-07,Catwoman: Hunted,6.2,en,"Animation, Action, Crime"
135,2016-10-07,Hacksaw Ridge,8.2,en,"Drama, History, War"
136,2021-05-06,Crazy Fist,7.3,zh,Action
137,2001-11-16,Harry Potter and the Philosopher's Stone,7.9,en,"Adventure, Fantasy"
138,2012-04-25,The Avengers,7.7,en,"Science Fiction, Action, Adventure"
139,2021-06-15,Dragon Fury,6.1,en,"Horror, Fantasy, Mystery"
140,2021-07-29,Tarumama,5.1,es,"Horror, Drama"
141,2016-10-25,Doctor Strange,7.4,en,"Action, Adventure, Fantasy, Science Fiction"
142,2021-10-14,Halloween Kills,6.8,en,"Horror, Thriller"
143,2022-02-10,The Exorcism of God,5.6,en,Horror
144,2019-06-28,Spider-Man: Far From Home,7.5,en,"Action, Adventure, Science Fiction"
145,2022-01-01,Harry Potter 20th Anniversary: Return to Hogwarts,8,en,Documentary
146,2020-09-02,After We Collided,7.3,en,"Romance, Drama"
147,2022-02-17,The Desperate Hour,5.8,en,Thriller
148,2015-04-18,Dragon Ball Z: Resurrection 'F',6.8,ja,"Action, Animation, Science Fiction"
149,2021-10-28,Seal Team,7.1,en,"Animation, Family, Comedy"
150,2009-03-19,Knowing,6.1,en,"Action, Mystery, Science Fiction, Thriller"
151,2021-10-01,Witch Hunt,7.2,en,"Fantasy, Horror, Thriller, Drama"
152,2014-09-10,The Maze Runner,7.2,en,"Action, Mystery, Science Fiction, Thriller"
153,2021-03-31,The Unholy,6.8,en,Horror
154,2019-12-19,Ashfall,6.6,ko,"Action, Adventure, Thriller"
155,2022-02-11,The Sky Is Everywhere,5.8,en,"Drama, Romance, Music"
156,2021-09-09,Time Is Up,6.2,en,"Romance, Drama"
157,2021-06-30,The Deep House,6.5,en,Horror
158,2015-08-07,Boruto: Naruto the Movie,7.7,ja,"Animation, Action, Comedy"
159,2002-11-13,Harry Potter and the Chamber of Secrets,7.7,en,"Adventure, Fantasy"
160,2020-02-12,Sonic the Hedgehog,7.4,en,"Action, Science Fiction, Comedy, Family"
161,2017-10-27,Coco,8.2,en,"Family, Animation, Fantasy, Music, Comedy, Adventure"
162,2017-06-21,Ava,6,fr,Drama
163,2014-10-15,Fury,7.5,en,"War, Drama, Action"
164,2021-08-12,Don't Breathe 2,7.4,en,"Thriller, Horror"
165,2021-10-01,Matando Cabos 2: La Máscara del Máscara,7.8,es,"Action, Comedy, Adventure"
166,2020-12-03,Monster Hunter,6.8,en,"Action, Fantasy, Adventure"
167,2014-12-06,The Last: Naruto the Movie,7.9,ja,"Action, Romance, Animation"
168,2017-07-05,Spider-Man: Homecoming,7.4,en,"Action, Adventure, Science Fiction, Drama"
169,2022-02-11,Bigbug,5.4,fr,"Science Fiction, Comedy"
170,2002-05-01,Spider-Man,7.2,en,"Fantasy, Action"
171,2019-04-24,Avengers: Endgame,8.3,en,"Adventure, Science Fiction, Action"
172,2021-07-21,Old,6.6,en,"Thriller, Mystery, Horror"
173,2011-09-28,Real Steel,6.9,en,"Action, Science Fiction, Drama"
